config,train_loss,val_loss,test_loss,input_size_e,hidden_size_lstm,layers_lstm,lr,input_size_d,output_dim
1,268724882.96208364,3193518.7245586636,2615208.2893373175,14,32,1,0.001,12,9
2,280295224.2918247,3120679.601431706,2489111.550947757,14,32,1,0.005,12,9
3,279545813.42397785,3168128.1690646904,2590495.29887986,14,32,1,0.0005,12,9
4,327996045.55547345,3484902.705735911,2625565.764850793,14,32,1,0.0001,12,9
5,276149073.85053575,3120640.4108439204,2644136.5651742243,14,32,2,0.001,12,9
6,270622858.56813145,3116282.5928062485,2520477.4879226983,14,32,2,0.005,12,9
7,274926686.1646683,3204081.963483789,2563080.4487710535,14,32,2,0.0005,12,9
8,332359140.53276134,3502024.277341881,2634594.7930307197,14,32,2,0.0001,12,9
9,269287920.03390145,3203236.4179308363,2690973.244920256,14,64,1,0.001,12,9
10,271540430.4310229,3105485.6353730946,2574778.8538165474,14,64,1,0.005,12,9
11,278160797.34190464,3156545.4330132366,2597421.227310799,14,64,1,0.0005,12,9
12,321688659.12908983,3433605.54474658,2598685.0285902214,14,64,1,0.0001,12,9
13,276820402.123993,3163979.1119080954,2602582.0664303526,14,64,2,0.001,12,9
14,269116046.7308633,3143930.6993451095,2502336.78978421,14,64,2,0.005,12,9
15,271727376.4453286,3181492.130710925,2630398.642953776,14,64,2,0.0005,12,9
16,326331195.1026517,3488110.556731892,2622043.1566043375,14,64,2,0.0001,12,9
