Datetime,Resolution code,System imbalance,Net regulation volume,SR,GUV,aFRR+,aFRR-,IGCC+,IGCC-,Bids+,Bids-,mFRR Standard,mFRR Flex,ICH+,Inter-TSO import,Inter-TSO export,GDV
2023-01-01T23:59:00+01:00,PT1M,56.969,-63.567,,190.34,11.469,3.907,178.871,0,0,250,0,0,,,,253.907
2023-01-01T23:58:00+01:00,PT1M,139.842,-146.819,,109.499,7.664,6.318,101.835,0,0,250,0,0,,,,256.318
2023-01-01T23:57:00+01:00,PT1M,192.477,-214.169,,44.427,2.115,8.497,42.312,0.099,0,250,0,0,,,,258.596
2023-01-01T23:56:00+01:00,PT1M,266.314,-259.498,,1.057,0,7.385,1.057,3.17,0,250,0,0,,,,260.555
2023-01-01T23:55:00+01:00,PT1M,286.939,-258.959,,0,0,5.013,0,3.946,0,250,0,0,,,,258.959
2023-01-01T23:54:00+01:00,PT1M,260.152,-252.762,,1.299,0,2.825,1.299,1.236,0,250,0,0,,,,254.061
2023-01-01T23:53:00+01:00,PT1M,255.227,-245.698,,6.742,0.438,1.679,6.304,0.761,0,250,0,0,,,,252.44
2023-01-01T23:52:00+01:00,PT1M,232.503,-234.518,,18.82,1.056,3.338,17.764,0,0,250,0,0,,,,253.338
2023-01-01T23:51:00+01:00,PT1M,217.997,-228.383,,27.361,0.792,5.744,26.569,0,0,250,0,0,,,,255.744
2023-01-01T23:50:00+01:00,PT1M,229.699,-219.329,,37.667,0.024,6.996,37.643,0,0,250,0,0,,,,256.996
2023-01-01T23:49:00+01:00,PT1M,110.748,-91.973,,166.17,4.313,8.143,161.857,0,0,250,0,0,,,,258.143
2023-01-01T23:48:00+01:00,PT1M,75.049,-121.405,,139.235,2.685,10.506,136.55,0.134,0,250,0,0,,,,260.64
2023-01-01T23:47:00+01:00,PT1M,235.318,-247.477,,15.938,0,12.932,15.938,0.483,0,250,0,0,,,,263.415
2023-01-01T23:46:00+01:00,PT1M,308.502,-282.919,,0.328,0,20.326,0.328,12.921,0,250,0,0,,,,283.247
2023-01-01T23:45:00+01:00,PT1M,340.523,-325.109,,0,0,58.222,0,16.887,0,250,0,0,,,,325.109
2023-01-01T23:44:00+01:00,PT1M,304.966,-301.845,,0,0,73.366,0,28.479,0,200,0,0,,,,301.845
2023-01-01T23:43:00+01:00,PT1M,309.353,-316.381,,0,0,80.57,0,35.811,0,200,0,0,,,,316.381
2023-01-01T23:42:00+01:00,PT1M,318.47,-308.732,,0,0,68.839,0,39.893,0,200,0,0,,,,308.732
2023-01-01T23:41:00+01:00,PT1M,335.288,-295.897,,0,0,56.289,0,39.608,0,200,0,0,,,,295.897
2023-01-01T23:40:00+01:00,PT1M,292.457,-283.681,,0,0,44.7,0,38.981,0,200,0,0,,,,283.681
2023-01-01T23:39:00+01:00,PT1M,367.023,-322.08,,0,0,31.809,0,90.271,0,200,0,0,,,,322.08
2023-01-01T23:38:00+01:00,PT1M,427.312,-320.811,,0,0,19.966,0,100.845,0,200,0,0,,,,320.811
2023-01-01T23:37:00+01:00,PT1M,403.167,-312.284,,0,0,11.79,0,100.494,0,200,0,0,,,,312.284
2023-01-01T23:36:00+01:00,PT1M,359.548,-322.306,,0,0,6.745,0,115.561,0,200,0,0,,,,322.306
2023-01-01T23:35:00+01:00,PT1M,346.122,-329.081,,0,0,8.891,0,120.19,0,200,0,0,,,,329.081
2023-01-01T23:34:00+01:00,PT1M,321.62,-310.361,,0,0,16.559,0,93.802,0,200,0,0,,,,310.361
2023-01-01T23:33:00+01:00,PT1M,291.615,-300.399,,0,0,24.359,0,76.04,0,200,0,0,,,,300.399
2023-01-01T23:32:00+01:00,PT1M,277.233,-289.5,,0,0,31.679,0,57.821,0,200,0,0,,,,289.5
2023-01-01T23:31:00+01:00,PT1M,260.56,-262.94,,0,0,28.599,0,34.341,0,200,0,0,,,,262.94
2023-01-01T23:30:00+01:00,PT1M,309.275,-249.73,,0,0,21.106,0,28.624,0,200,0,0,,,,249.73
2023-01-01T23:29:00+01:00,PT1M,259.361,-228.63,,0,0,13.302,0,15.328,0,200,0,0,,,,228.63
2023-01-01T23:28:00+01:00,PT1M,286.547,-238.928,,0,0,6.454,0,32.474,0,200,0,0,,,,238.928
2023-01-01T23:27:00+01:00,PT1M,233.399,-216.148,,0,0,5.014,0,11.134,0,200,0,0,,,,216.148
2023-01-01T23:26:00+01:00,PT1M,210.783,-213.353,,1.333,0.008,7.27,1.325,7.416,0,200,0,0,,,,214.686
2023-01-01T23:25:00+01:00,PT1M,225.346,-212.692,,6.755,1.056,9.697,5.699,9.75,0,200,0,0,,,,219.447
2023-01-01T23:24:00+01:00,PT1M,172.907,-182.125,,30.007,2.655,12.132,27.352,0,0,200,0,0,,,,212.132
2023-01-01T23:23:00+01:00,PT1M,190.077,-208.807,,7.133,0.041,15.296,7.092,0.644,0,200,0,0,,,,215.94
2023-01-01T23:22:00+01:00,PT1M,223.612,-286.661,,2.001,0,22.215,2.001,66.447,0,200,0,0,,,,288.662
2023-01-01T23:21:00+01:00,PT1M,452.294,-428.97,,0,0,18.864,0,210.106,0,200,0,0,,,,428.97
2023-01-01T23:20:00+01:00,PT1M,525.254,-510.09,,0,0,13.605,0,296.485,0,200,0,0,,,,510.09
2023-01-01T23:19:00+01:00,PT1M,500.397,-504.062,,0,0,12.254,0,291.808,0,200,0,0,,,,504.062
2023-01-01T23:18:00+01:00,PT1M,480.876,-490.853,,0,0,10.127,0,280.726,0,200,0,0,,,,490.853
2023-01-01T23:17:00+01:00,PT1M,494.153,-511.267,,0,0,11.944,0,299.323,0,200,0,0,,,,511.267
2023-01-01T23:16:00+01:00,PT1M,582.295,-587.735,,0,0,10.205,0,377.53,0,200,0,0,,,,587.735
2023-01-01T23:15:00+01:00,PT1M,450.216,-403.521,,0,0,3.21,0,400.311,0,0,0,0,,,,403.521
2023-01-01T23:14:00+01:00,PT1M,419.446,-382.034,,0.114,0.114,0.641,0,381.507,0,0,0,0,,,,382.148
2023-01-01T23:13:00+01:00,PT1M,382.992,-388.716,,0.84,0.84,0.8,0,388.756,0,0,0,0,,,,389.556
2023-01-01T23:12:00+01:00,PT1M,399.683,-403.117,,0.226,0.226,2.149,0,401.194,0,0,0,0,,,,403.343
2023-01-01T23:11:00+01:00,PT1M,406.491,-398.198,,0.026,0.026,1.586,0,396.638,0,0,0,0,,,,398.224
2023-01-01T23:10:00+01:00,PT1M,390.154,-387.871,,0.465,0.465,2.548,0,385.788,0,0,0,0,,,,388.336
2023-01-01T23:09:00+01:00,PT1M,380.307,-377.384,,0,0,4.6,0,372.784,0,0,0,0,,,,377.384
2023-01-01T23:08:00+01:00,PT1M,340.64,-336.255,,0,0,6.68,0,329.575,0,0,0,0,,,,336.255
2023-01-01T23:07:00+01:00,PT1M,351.798,-359.858,,0,0,7.736,0,352.122,0,0,0,0,,,,359.858
2023-01-01T23:06:00+01:00,PT1M,269.843,-252.688,,0.373,0.373,7.236,0,245.825,0,0,0,0,,,,253.061
2023-01-01T23:05:00+01:00,PT1M,203.953,-202.869,,0,0,6.85,0,196.019,0,0,0,0,,,,202.869
2023-01-01T23:04:00+01:00,PT1M,157.644,-145.01,,0,0,4.45,0,140.56,0,0,0,0,,,,145.01
2023-01-01T23:03:00+01:00,PT1M,99.542,-92.225,,0,0,2.066,0,90.159,0,0,0,0,,,,92.225
2023-01-01T23:02:00+01:00,PT1M,13.394,-4.19,,8.671,1.38,1.02,7.291,11.841,0,0,0,0,,,,12.861
2023-01-01T23:01:00+01:00,PT1M,-50.604,57.263,,58.037,7.434,0.725,50.603,0.049,0,0,0,0,,,,0.774
2023-01-01T23:00:00+01:00,PT1M,-104.014,106.74,,106.74,21.922,0,84.818,0,0,0,0,0,,,,0
2023-01-01T22:59:00+01:00,PT1M,133.388,-161.032,,138.968,17.239,0,121.729,0,0,300,0,0,,,,300
2023-01-01T22:58:00+01:00,PT1M,145.68,-160.111,,139.889,16.265,0,123.624,0,0,300,0,0,,,,300
2023-01-01T22:57:00+01:00,PT1M,127.256,-133.01,,166.99,24.866,0,142.124,0,0,300,0,0,,,,300
2023-01-01T22:56:00+01:00,PT1M,73.594,-101.448,,199.267,34.788,0.715,164.479,0,0,300,0,0,,,,300.715
2023-01-01T22:55:00+01:00,PT1M,117.869,-105.982,,197.085,31.669,3.067,165.416,0,0,300,0,0,,,,303.067
2023-01-01T22:54:00+01:00,PT1M,100.086,-118.999,,186.436,20.767,5.435,165.669,0,0,300,0,0,,,,305.435
2023-01-01T22:53:00+01:00,PT1M,109.103,-164.264,,143.613,9.51,7.877,134.103,0,0,300,0,0,,,,307.877
2023-01-01T22:52:00+01:00,PT1M,183.667,-245.204,,67.684,3.291,12.888,64.393,0,0,300,0,0,,,,312.888
2023-01-01T22:51:00+01:00,PT1M,235.124,-278.507,,42.248,1.53,20.755,40.718,0,0,300,0,0,,,,320.755
2023-01-01T22:50:00+01:00,PT1M,243.914,-293.982,,34.331,0.146,28.313,34.185,0,0,300,0,0,,,,328.313
2023-01-01T22:49:00+01:00,PT1M,260.257,-326.318,,16.039,0,35.93,16.039,6.427,0,300,0,0,,,,342.357
2023-01-01T22:48:00+01:00,PT1M,330.532,-381.373,,0,0,40.325,0,41.048,0,300,0,0,,,,381.373
2023-01-01T22:47:00+01:00,PT1M,326.402,-372.477,,0,0,37.375,0,35.102,0,300,0,0,,,,372.477
2023-01-01T22:46:00+01:00,PT1M,461.489,-493.639,,0,0,30.833,0,162.806,0,300,0,0,,,,493.639
2023-01-01T22:45:00+01:00,PT1M,644.39,-599.477,,0.057,0.057,19.795,0,279.739,0,300,0,0,,,,599.534
2023-01-01T22:44:00+01:00,PT1M,596.217,-473.668,,1.314,1.314,10,0,323.382,0,141.6,0,0,,,,474.982
2023-01-01T22:43:00+01:00,PT1M,535.233,-456.203,,3.036,3.036,4.013,0,313.626,0,141.6,0,0,,,,459.239
2023-01-01T22:42:00+01:00,PT1M,489.671,-490.447,,4.72,4.72,4.503,0,349.064,0,141.6,0,0,,,,495.167
2023-01-01T22:41:00+01:00,PT1M,511.045,-512.945,,4.727,4.727,6.925,0,369.147,0,141.6,0,0,,,,517.672
2023-01-01T22:40:00+01:00,PT1M,459.681,-430.948,,4.917,4.917,9.724,0,284.541,0,141.6,0,0,,,,435.865
2023-01-01T22:39:00+01:00,PT1M,426.215,-449.208,,3.158,3.158,16.671,0,294.095,0,141.6,0,0,,,,452.366
2023-01-01T22:38:00+01:00,PT1M,409.505,-416.821,,1.405,1.405,24.893,0,251.733,0,141.6,0,0,,,,418.226
2023-01-01T22:37:00+01:00,PT1M,458.224,-542.187,,0.092,0.092,33.206,0,367.473,0,141.6,0,0,,,,542.279
2023-01-01T22:36:00+01:00,PT1M,528.985,-557.638,,0,0,41.254,0,374.784,0,141.6,0,0,,,,557.638
2023-01-01T22:35:00+01:00,PT1M,515.936,-573.245,,0,0,48.615,0,383.03,0,141.6,0,0,,,,573.245
2023-01-01T22:34:00+01:00,PT1M,533.349,-563.968,,0,0,55.432,0,366.936,0,141.6,0,0,,,,563.968
2023-01-01T22:33:00+01:00,PT1M,476.648,-546.31,,0,0,56.787,0,347.923,0,141.6,0,0,,,,546.31
2023-01-01T22:32:00+01:00,PT1M,472.9,-515.834,,0,0,53.44,0,320.794,0,141.6,0,0,,,,515.834
2023-01-01T22:31:00+01:00,PT1M,472.424,-481.879,,0.042,0.042,43.676,0,296.645,0,141.6,0,0,,,,481.921
2023-01-01T22:30:00+01:00,PT1M,466.706,-385.014,,1.837,1.837,29.536,0,215.715,0,141.6,0,0,,,,386.851
2023-01-01T22:29:00+01:00,PT1M,396.985,-368.786,,3.822,3.822,19.749,0,211.259,0,141.6,0,0,,,,372.608
2023-01-01T22:28:00+01:00,PT1M,353.915,-345.827,,5.714,5.714,11.835,0,198.106,0,141.6,0,0,,,,351.541
2023-01-01T22:27:00+01:00,PT1M,371.198,-350.275,,13.635,13.635,7.297,0,215.013,0,141.6,0,0,,,,363.91
2023-01-01T22:26:00+01:00,PT1M,357.697,-318.233,,24.644,24.644,4.696,0,196.581,0,141.6,0,0,,,,342.877
2023-01-01T22:25:00+01:00,PT1M,364.153,-267.094,,35.743,35.743,2.285,0,158.952,0,141.6,0,0,,,,302.837
2023-01-01T22:24:00+01:00,PT1M,325.365,-208.142,,46.805,46.805,0.256,0,113.091,0,141.6,0,0,,,,254.947
2023-01-01T22:23:00+01:00,PT1M,272.966,-172.452,,58.46,56.628,0.008,1.832,89.304,0,141.6,0,0,,,,230.912
2023-01-01T22:22:00+01:00,PT1M,110.122,-48.345,,93.263,66.932,0.008,26.331,0,0,141.6,0,0,,,,141.608
2023-01-01T22:21:00+01:00,PT1M,67.481,-25.616,,115.992,67.012,0.008,48.98,0,0,141.6,0,0,,,,141.608
2023-01-01T22:20:00+01:00,PT1M,-12.216,82.677,,224.285,58.362,0.008,165.923,0,0,141.6,0,0,,,,141.608
2023-01-01T22:19:00+01:00,PT1M,-150.633,78.018,,219.626,42.78,0.008,176.846,0,0,141.6,0,0,,,,141.608
2023-01-01T22:18:00+01:00,PT1M,-150.763,29.732,,171.34,28.702,0.008,142.638,0,0,141.6,0,0,,,,141.608
2023-01-01T22:17:00+01:00,PT1M,-49.318,-53.853,,87.755,17.277,0.008,70.478,0,0,141.6,0,0,,,,141.608
2023-01-01T22:16:00+01:00,PT1M,67.194,-94.105,,47.503,6.515,0.008,40.988,0,0,141.6,0,0,,,,141.608
2023-01-01T22:15:00+01:00,PT1M,63.181,-76.442,,65.166,2.457,0.008,62.709,0,0,141.6,0,0,,,,141.608
2023-01-01T22:14:00+01:00,PT1M,75.288,-98.22,,81.837,4.66,0.057,77.177,0,0,180,0,0,,,,180.057
2023-01-01T22:13:00+01:00,PT1M,88.839,-92.67,,87.33,16.573,0,70.757,0,0,180,0,0,,,,180
2023-01-01T22:12:00+01:00,PT1M,110.777,-101.705,,78.36,21.487,0.065,56.873,0,0,180,0,0,,,,180.065
