Datetime;Resolution code;Quarter hour;Quality status;ACE;System imbalance;Alpha;Alpha';Marginal incremental price;Marginal decremental price;Imbalance Price
2024-09-06T18:56:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-55.073;-107.004;0.0;0.0;369.425;-10.338;369.425
2024-09-06T18:55:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-58.054;-104.101;0.0;0.0;359.525;-10.338;359.525
2024-09-06T18:54:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-60.39;-99.88;0.0;0.0;348.925;-10.338;348.925
2024-09-06T18:53:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-65.635;-97.86;0.0;0.0;337.583;-10.338;337.583
2024-09-06T18:52:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-68.06;-92.88;0.0;0.0;323.392;-10.338;323.392
2024-09-06T18:51:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-65.824;-84.408;0.0;0.0;304.761;-10.338;304.761
2024-09-06T18:50:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-64.658;-76.896;0.0;0.0;281.122;-10.338;281.122
2024-09-06T18:49:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-59.738;-68.513;0.0;0.0;258.992;-10.338;258.992
2024-09-06T18:48:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-41.438;-45.75;0.0;0.0;248.768;-10.338;248.768
2024-09-06T18:47:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-15.597;-15.527;0.0;0.0;79.86;-10.534;79.86
2024-09-06T18:46:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-5.898;5.456;0.0;0.0;248.72;79.86;79.86
2024-09-06T18:45:00+02:00;PT1M;2024-09-06T18:45:00+02:00;NV;-9.906;5.319;0.0;0.0;248.769;79.86;79.86
2024-09-06T18:44:00+02:00;PT1M;2024-09-06T18:30:00+02:00;NV;3.847;-20.703;0.0;0.0;79.86;-315.423;79.86
2024-09-06T18:43:00+02:00;PT1M;2024-09-06T18:30:00+02:00;NV;3.322;-26.047;0.0;0.0;249.089;-316.106;249.089
2024-09-06T18:42:00+02:00;PT1M;2024-09-06T18:30:00+02:00;NV;2.777;-28.909;0.0;0.0;249.098;-316.354;249.098
2024-09-06T18:41:00+02:00;PT1M;2024-09-06T18:30:00+02:00;NV;3.286;-29.94;0.0;0.0;249.123;-316.376;249.123
2024-09-06T18:40:00+02:00;PT1M;2024-09-06T18:30:00+02:00;NV;3.156;-29.879;0.0;0.0;249.163;-316.381;249.163
2024-09-06T18:39:00+02:00;PT1M;2024-09-06T18:30:00+02:00;NV;8.552;-24.406;0.0;0.0;79.86;-316.478;79.86
2024-09-06T18:38:00+02:00;PT1M;2024-09-06T18:30:00+02:00;NV;9.21;-21.692;0.0;0.0;79.86;-317.359;79.86
2024-09-06T18:37:00+02:00;PT1M;2024-09-06T18:30:00+02:00;NV;14.702;-16.177;0.0;0.0;79.86;-320.207;79.86
