,LA:1,LA:2,LA:3,LA:4,LA:5,LA:6,LA:7,LA:8,LA:9,LA:10,LA:11,LA:12
1,350.0,55.37,35.08,71.95,354.74,33.02,94.41,127.9,353.85,191.95,525.0,525.0
2,55.37,35.08,71.95,354.74,33.02,94.41,127.9,353.85,191.95,525.0,525.0,527.17
3,35.08,71.95,354.74,33.02,94.41,127.9,353.85,191.95,525.0,525.0,527.17,525.0
4,71.95,354.74,33.02,94.41,127.9,353.85,191.95,525.0,525.0,527.17,525.0,525.0
5,354.74,33.02,94.41,127.9,353.85,191.95,525.0,525.0,527.17,525.0,525.0,222.6
6,33.02,94.41,127.9,353.85,191.95,525.0,525.0,527.17,525.0,525.0,222.6,124.54
7,94.41,127.9,353.85,191.95,525.0,525.0,527.17,525.0,525.0,222.6,124.54,525.0
8,127.9,353.85,191.95,525.0,525.0,527.17,525.0,525.0,222.6,124.54,525.0,525.0
9,353.85,191.95,525.0,525.0,527.17,525.0,525.0,222.6,124.54,525.0,525.0,525.0
10,191.95,525.0,525.0,527.17,525.0,525.0,222.6,124.54,525.0,525.0,525.0,122.69
11,525.0,525.0,527.17,525.0,525.0,222.6,124.54,525.0,525.0,525.0,122.69,101.46
12,525.0,527.17,525.0,525.0,222.6,124.54,525.0,525.0,525.0,122.69,101.46,526.0
13,527.17,525.0,525.0,222.6,124.54,525.0,525.0,525.0,122.69,101.46,526.0,525.0
14,525.0,525.0,222.6,124.54,525.0,525.0,525.0,122.69,101.46,526.0,525.0,149.52
15,525.0,222.6,124.54,525.0,525.0,525.0,122.69,101.46,526.0,525.0,149.52,326.37
16,222.6,124.54,525.0,525.0,525.0,122.69,101.46,526.0,525.0,149.52,326.37,320.08
17,124.54,525.0,525.0,525.0,122.69,101.46,526.0,525.0,149.52,326.37,320.08,320.08
18,525.0,525.0,525.0,122.69,101.46,526.0,525.0,149.52,326.37,320.08,320.08,320.08
19,525.0,525.0,122.69,101.46,526.0,525.0,149.52,326.37,320.08,320.08,320.08,307.81
20,525.0,122.69,101.46,526.0,525.0,149.52,326.37,320.08,320.08,320.08,307.81,332.11
21,122.69,101.46,526.0,525.0,149.52,326.37,320.08,320.08,320.08,307.81,332.11,-1.28
22,101.46,526.0,525.0,149.52,326.37,320.08,320.08,320.08,307.81,332.11,-1.28,282.6
23,526.0,525.0,149.52,326.37,320.08,320.08,320.08,307.81,332.11,-1.28,282.6,292.73
24,525.0,149.52,326.37,320.08,320.08,320.08,307.81,332.11,-1.28,282.6,292.73,300.84
25,149.52,326.37,320.08,320.08,320.08,307.81,332.11,-1.28,282.6,292.73,300.84,225.04
26,326.37,320.08,320.08,320.08,307.81,332.11,-1.28,282.6,292.73,300.84,225.04,290.49
27,320.08,320.08,320.08,307.81,332.11,-1.28,282.6,292.73,300.84,225.04,290.49,223.76
28,320.08,320.08,307.81,332.11,-1.28,282.6,292.73,300.84,225.04,290.49,223.76,282.0
29,320.08,307.81,332.11,-1.28,282.6,292.73,300.84,225.04,290.49,223.76,282.0,281.05
30,307.81,332.11,-1.28,282.6,292.73,300.84,225.04,290.49,223.76,282.0,281.05,121.23
31,332.11,-1.28,282.6,292.73,300.84,225.04,290.49,223.76,282.0,281.05,121.23,222.6
