config,train_loss,val_loss,test_loss,input_size_e,hidden_size_lstm,layers_lstm,lr,input_size_d,output_dim
1,283860715.46382827,3149791.6421740516,2540475.4213363724,14,32,1,0.001,12,9
2,281693190.45618826,3115371.0769326724,2491086.4811049234,14,32,1,0.005,12,9
3,288150300.38930327,3184771.3272159155,2564132.50207258,14,32,1,0.0005,12,9
4,310320100.696033,3344718.90325938,2580448.9071738874,14,32,1,0.0001,12,9
5,271030096.53772956,3091792.16303848,2566442.3682721253,14,32,2,0.001,12,9
6,273776023.7676344,3056136.3315539435,2513509.7659207205,14,32,2,0.005,12,9
7,272883384.62331825,3198116.60784324,2590284.4664487345,14,32,2,0.0005,12,9
8,332604884.7747955,3486145.3152593803,2627024.746779933,14,32,2,0.0001,12,9
9,275607218.40903944,3072643.889647918,2574494.4413163266,14,64,1,0.001,12,9
10,283809005.03503793,3099692.2643842245,2506742.422498524,14,64,1,0.005,12,9
11,278178469.7635583,3159807.1434893333,2526801.9066093285,14,64,1,0.0005,12,9
12,294796805.16744167,3271349.3841207162,2562590.6944772056,14,64,1,0.0001,12,9
13,259346974.36675608,3077631.7102772514,2742483.9928771867,14,64,2,0.001,12,9
14,269626695.01451296,3033635.185329358,2556435.370934606,14,64,2,0.005,12,9
15,267925267.33516288,3116853.096448232,2596625.708093422,14,64,2,0.0005,12,9
16,274823758.7880524,3226969.1773383906,2582151.365727053,14,64,2,0.0001,12,9
