,Timestamp
0,10:22:57
1,10:23:58
2,10:24:41
3,10:28:58
4,10:33:54
5,10:34:20
6,10:34:21
7,10:34:33
8,10:34:37
9,10:36:53
10,10:37:17
11,10:38:11
12,10:39:26
13,10:40:15
14,10:40:45
15,10:46:05
16,10:46:15
17,10:46:25
18,10:46:35
19,10:46:45
20,10:46:55
21,10:47:05
22,10:47:15
23,10:47:25
24,10:47:35
25,10:47:45
26,10:47:55
27,10:48:05
28,10:48:15
29,10:48:25
30,10:48:35
31,10:48:45
32,10:50:09
33,10:50:19
34,10:50:29
35,10:50:39
36,10:50:49
37,10:50:59
38,10:51:09
39,10:51:19
40,10:51:29
41,10:51:39
42,10:51:49
43,10:51:59
44,10:52:00
45,10:52:09
46,10:52:10
47,10:52:19
48,10:52:20
49,10:52:29
50,10:52:30
51,10:52:39
52,10:52:40
53,10:52:49
54,10:52:50
55,10:52:59
56,10:53:00
57,10:53:09
58,10:53:10
59,10:53:19
60,10:53:20
61,10:53:29
62,10:53:30
63,10:53:39
64,10:53:40
65,10:53:49
66,10:53:50
67,10:53:59
68,10:54:01
69,10:54:09
70,10:54:11
71,10:54:20
72,10:54:21
73,10:54:30
74,10:54:31
75,10:54:40
76,10:54:41
77,10:54:50
78,10:54:51
79,10:55:00
80,10:55:01
81,10:55:10
82,10:55:11
83,10:55:20
84,10:55:21
85,10:55:30
86,10:55:31
87,10:55:40
88,10:55:41
89,10:55:50
90,10:55:51
91,10:56:00
92,10:56:01
93,10:56:10
94,10:56:11
95,10:56:20
96,10:56:21
97,10:56:30
98,10:56:31
99,10:56:40
100,10:56:41
101,10:56:50
102,10:56:51
103,10:57:00
104,10:57:01
105,10:57:10
106,10:57:11
107,10:57:20
108,10:57:21
109,10:57:30
110,10:57:31
111,10:57:40
112,10:57:41
113,10:57:50
114,10:57:51
115,10:58:00
116,10:58:01
117,10:58:10
118,10:58:11
119,10:58:20
120,10:58:21
121,10:58:30
122,10:58:31
123,10:58:40
124,10:58:41
125,10:58:50
126,10:58:51
127,10:59:00
128,10:59:01
129,10:59:10
130,10:59:11
131,10:59:20
132,10:59:21
133,10:59:30
134,10:59:31
135,10:59:40
136,10:59:41
137,10:59:50
138,10:59:51
139,11:00:00
140,11:00:01
141,11:00:10
142,11:00:11
143,11:00:20
144,11:00:21
145,11:00:30
146,11:00:31
147,11:00:40
148,11:00:41
149,11:00:50
150,11:00:51
151,11:01:00
152,11:01:01
153,11:01:10
154,11:01:11
155,11:01:20
156,11:01:21
157,11:01:30
158,11:01:31
159,11:01:40
160,11:01:41
161,11:01:50
162,11:01:51
163,11:02:00
164,11:02:01
165,11:02:10
166,11:02:11
167,11:02:21
168,11:02:21
169,11:02:31
170,11:02:31
171,11:02:41
172,11:02:41
173,11:02:51
174,11:02:51
175,11:03:01
176,11:03:01
177,11:03:11
178,11:03:11
179,11:03:21
180,11:03:22
181,11:03:31
182,11:03:32
183,11:03:41
184,11:03:42
185,11:03:51
186,11:03:52
187,11:04:01
188,11:04:02
189,11:04:11
190,11:04:12
191,11:04:21
192,11:04:22
